WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
646,Sorland,NO,67.667,12.6934,37.26,75,56,7.67,broken clouds
647,Valtierrilla,MX,20.5333,-101.1333,60.6,38,17,2.51,few clouds
648,Gibara,CU,21.1097,-76.1317,74.52,78,7,16.8,clear sky
649,Atherton,GB,53.5237,-2.4935,48.88,81,76,5.99,broken clouds
650,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.41,84,62,20.18,broken clouds
651,Gaoua,BF,10.2992,-3.2508,71.37,13,65,5.66,broken clouds
652,Asfi,MA,32.2994,-9.2372,52.81,65,96,9.04,overcast clouds
653,Mabama,TZ,-5.1333,32.5333,64.89,91,75,3.56,light rain
654,Dzhebariki-Khaya,RU,62.2167,135.8,-33.32,93,100,1.68,overcast clouds
655,Mansa,IN,29.9833,75.3833,58.39,79,0,7.45,clear sky
656,Abu Dhabi,AE,24.4667,54.3667,60.96,90,0,2.3,haze
657,Calamar,CO,10.2511,-74.9146,73.67,79,16,4.18,few clouds
658,Talakan,RU,50.3167,130.3667,1.22,88,99,2.46,overcast clouds
659,Kuantan,MY,3.8077,103.326,77.11,88,40,8.05,scattered clouds
660,Urusha,RU,54.05,122.9,4.73,80,100,1.34,overcast clouds
661,Wadi Musa,JO,30.3222,35.4793,40.3,81,25,15.52,scattered clouds
